Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1510;-0,3936;15,3085;0,08293;11,992;12,711;13,158;13,404;13,795;14,068;14,485;15,309;16,199;16,707;17,064;17,613;17,982;18,71;20,056;11,112;12,074;13,036;14,109;15,308;16,655;18,173;19,89;21,608
1511;-0,3942;15,308;0,08295;11,991;12,71;13,157;13,403;13,794;14,067;14,484;15,308;16,199;16,707;17,064;17,613;17,982;18,71;20,058;11,111;12,073;13,035;14,108;15,308;16,655;18,173;19,892;21,61
1512;-0,3949;15,3075;0,08296;11,991;12,71;13,157;13,402;13,793;14,066;14,483;15,308;16,199;16,707;17,064;17,613;17,982;18,711;20,058;11,11;12,073;13,035;14,108;15,308;16,655;18,173;19,892;21,611
1513;-0,3956;15,3071;0,08297;11,99;12,709;13,156;13,402;13,793;14,066;14,483;15,307;16,198;16,707;17,064;17,613;17,982;18,711;20,059;11,11;12,072;13,034;14,107;15,307;16,654;18,173;19,893;21,612
1514;-0,3963;15,3066;0,08298;11,99;12,709;13,156;13,401;13,792;14,065;14,482;15,307;16,198;16,706;17,063;17,612;17,982;18,711;20,059;11,11;12,072;13,034;14,107;15,307;16,654;18,173;19,893;21,613
1515;-0,397;15,3061;0,08299;11,989;12,708;13,155;13,401;13,792;14,065;14,482;15,306;16,198;16,706;17,063;17,612;17,982;18,711;20,06;11,109;12,071;13,033;14,106;15,306;16,654;18,173;19,894;21,614
1516;-0,3977;15,3057;0,083;11,989;12,708;13,155;13,4;13,791;14,064;14,481;15,306;16,197;16,706;17,063;17,612;17,982;18,711;20,061;11,109;12,071;13,033;14,106;15,306;16,654;18,173;19,894;21,615
1517;-0,3984;15,3052;0,08302;11,988;12,707;13,154;13,4;13,791;14,064;14,481;15,305;16,197;16,706;17,063;17,612;17,983;18,712;20,062;11,108;12,07;13,032;14,105;15,305;16,653;18,174;19,895;21,617
1518;-0,3991;15,3047;0,08303;11,988;12,706;13,153;13,399;13,79;14,063;14,48;15,305;16,197;16,705;17,063;17,612;17,983;18,712;20,062;11,108;12,07;13,032;14,104;15,305;16,653;18,174;19,896;21,618
1519;-0,3998;15,3043;0,08304;11,987;12,706;13,153;13,399;13,79;14,063;14,48;15,304;16,196;16,705;17,063;17,612;17,983;18,712;20,063;11,107;12,069;13,031;14,104;15,304;16,653;18,174;19,897;21,619
1520;-0,4006;15,3038;0,08305;11,987;12,705;13,152;13,398;13,789;14,062;14,479;15,304;16,196;16,705;17,062;17,612;17,983;18,712;20,064;11,107;12,069;13,031;14,103;15,304;16,653;18,174;19,897;21,621
