Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
279;-0,2784;16,7214;0,08892;12,832;13,675;14,2;14,488;14,947;15,267;15,756;16,721;17,764;18,358;18,774;19,414;19,845;20,692;22,255;11,798;12,928;14,057;15,315;16,721;18,297;20,067;22,062;24,058
280;-0,2796;16,7176;0,0889;12,83;13,673;14,197;14,485;14,944;15,264;15,752;16,718;17,76;18,353;18,77;19,41;19,84;20,687;22,249;11,797;12,926;14,054;15,312;16,718;18,292;20,062;22,057;24,052
281;-0,2808;16,7137;0,08889;12,828;13,67;14,194;14,482;14,941;15,261;15,749;16,714;17,755;18,349;18,765;19,405;19,835;20,682;22,244;11,796;12,924;14,052;15,309;16,714;18,288;20,057;22,052;24,047
282;-0,2819;16,7098;0,08888;12,826;13,668;14,192;14,479;14,938;15,257;15,745;16,71;17,751;18,345;18,761;19,4;19,831;20,677;22,24;11,794;12,922;14,049;15,305;16,71;18,284;20,053;22,047;24,042
283;-0,2831;16,7059;0,08887;12,824;13,665;14,189;14,477;14,934;15,254;15,742;16,706;17,747;18,34;18,756;19,396;19,826;20,672;22,235;11,793;12,919;14,046;15,302;16,706;18,279;20,048;22,042;24,037
284;-0,2842;16,7019;0,08885;12,822;13,663;14,186;14,474;14,931;15,251;15,738;16,702;17,743;18,335;18,751;19,391;19,821;20,667;22,229;11,792;12,918;14,044;15,299;16,702;18,275;20,043;22,037;24,031
285;-0,2854;16,698;0,08884;12,82;13,66;14,183;14,471;14,928;15,247;15,735;16,698;17,738;18,331;18,747;19,386;19,816;20,662;22,224;11,79;12,915;14,041;15,295;16,698;18,27;20,038;22,032;24,026
286;-0,2865;16,694;0,08883;12,817;13,657;14,18;14,468;14,925;15,244;15,731;16,694;17,734;18,327;18,742;19,381;19,811;20,657;22,219;11,788;12,913;14,038;15,292;16,694;18,266;20,033;22,027;24,021
287;-0,2876;16,69;0,08882;12,815;13,655;14,177;14,465;14,922;15,24;15,728;16,69;17,73;18,322;18,738;19,377;19,806;20,652;22,214;11,787;12,911;14,035;15,289;16,69;18,261;20,028;22,022;24,015
288;-0,2888;16,686;0,08881;12,813;13,652;14,174;14,461;14,918;15,237;15,724;16,686;17,725;18,318;18,733;19,372;19,802;20,647;22,209;11,785;12,909;14,032;15,285;16,686;18,257;20,024;22,017;24,01
289;-0,2899;16,682;0,08879;12,811;13,65;14,172;14,459;14,915;15,234;15,72;16,682;17,721;18,313;18,728;19,367;19,796;20,642;22,203;11,784;12,907;14,03;15,282;16,682;18,252;20,018;22,011;24,004
290;-0,291;16,6779;0,08878;12,809;13,647;14,169;14,455;14,912;15,23;15,717;16,678;17,716;18,308;18,724;19,362;19,792;20,637;22,198;11,782;12,904;14,027;15,278;16,678;18,248;20,013;22,006;23,999
